spcd,common_name,genus,species
7040,redbox,Eucalyptus,polyanthemos
7041,white box,Eucalyptus,hemiphloia
7043,spotted gum,Eucalyptus,maculata
7044,jarrah,Eucalyptus,marginata
7045,Australian tallowwood,Eucalyptus,microcorys
7046,gray ironbark,Eucalyptus,paniculata
7047,blackbutt,Eucalyptus,pilularis
7048,black ironbox,Eucalyptus,raveretiana
7049,redmahogany,Eucalyptus,resinifera
7051,Western Australian floodedgum,Eucalyptus,rudis
7052,black peppermint,Eucalyptus,salicifolia
7053,Sydney bluegum,Eucalyptus,saligna
7054,red ironbark,Eucalyptus,sideroxylon
7056,forest redgum,Eucalyptus,tereticornis
7057,manna gum,Eucalyptus,viminalis
7059,"edebsachel, chedebsachel",Eugenia,aquea
7060,white stopper,Eugenia,axillaris
7061,blackrodwood,Eugenia,biflora
7062,Sierra de Cayey stopper,Eugenia,boqueronensis
7063,guayabota de sierra,Eugenia,borinquensis
7065,cloves,Eugenia,caryophyllus
7066,redberry stopper,Eugenia,confusa
7067,lathberry,Eugenia,cordata
7068,lathberry,Eugenia,cordata
7069,sperry guava,Eugenia,corozalensis
7071,serrette guave,Eugenia,domingensis
7072,guasabara,Eugenia,eggersii
7075,smooth rodwood,Eugenia,glabrata
7076,Luquillo Mountain stopper,Eugenia,haematocarpa
7078,"macupa, wax apple",Eugenia,javanica
7079,nioi,Eugenia,koolauensis
7081,privet stopper,Eugenia,ligustrina
7082,"makupa, malay apple",Eugenia,malaccensis
7083,bigleaf snowbell,Styrax,grandifolius
7084,birdcherry,Eugenia,monticola
7086,Eugenia nitida,Eugenia,nitida
7087,orenged,Eugenia,palauensis
7088,agatelang,Eugenia,palumbis
7089,rockmyrtle,Eugenia,procera
7090,Christmas cherry,Eugenia,pseudopsidium
7091,mountain stopper,Eugenia,reinwardtiana
7092,Japanese tree lilac,Syringa,reticulata
7093,serrasuela,Eugenia,serrasuela
7094,sessileleaf stopper,Eugenia,sessiliflora
7096,stopper,Eugenia,spp.
7098,Stahl's stopper,Eugenia,stahlii
7099,luluhut,Eugenia,stelechantha
7100,Stewardson's stopper,Eugenia,stewardsonii
7101,rebotel,Eugenia,suzukii
7102,atoto,Eugenia,thompsonii
7103,Underwood's stopper,Eugenia,underwoodii
7104,Surinam cherry,Eugenia,uniflora
7105,aridland stopper,Eugenia,xerophytica
7109,Mexican shrubby spurge,Euphorbia,cotinifolia
7110,Kauai spurge,Euphorbia,haeleeleana
7111,mottled spurge,Euphorbia,lactea
7112,Indian spurgetree,Euphorbia,neriifolia
7113,manchineel berry,Euphorbia,petiolaris
7114,poinsettia,Euphorbia,pulcherrima
7115,spurge,Euphorbia,spp.
7116,Indiantree spurge,Euphorbia,tirucalli
7117,Longan,Euphoria,longana
7119,anini,Eurya,sandwicensis
7120,eurya,Eurya,spp.
7123,Euodia hortensis,Euodia,hortensis
7124,kertub,Euodia,nitida
7125,beror,Euodia,palawensis
7126,Euodia ponapensis,Euodia,ponapensis
7127,Euodia,Euodia,spp.
7128,Euodia trichantha,Euodia,trichantha
7129,blinding tree,Excoecaria,agallocha
7131,hulumoa,Exocarpos,gaudichaudii
7132,exocarpos,Exocarpos,spp.
7133,kotop,Exorrhiza,ponapensis
7135,Caribbean princewood,Exostema,caribaeum
7136,plateado,Exostema,ellipticum
7137,Exostema sanctae-luciae,Exostema,sanctae-luciae
7141,pualulu,Fagraea,berteroana
7142,ksid,Fagraea,ksid
7143,Fagraea,Fagraea,spp.
7144,peacocksplume,Falcataria,moluccana
7145,peacocksplume,Falcataria,spp.
7146,false coffee,Faramea,occidentalis
7147,feijoa,Feijoa,sellowiana
7148,Jamaican cherry fig,Ficus,americana
7149,Indian banyan,Ficus,benghalensis
7150,weeping fig,Ficus,benjamina
7151,edible fig,Ficus,carica
7152,Ficus copiosa,Ficus,copiosa
7154,brown-woolly fig,Ficus,drupacea
7155,Indian rubberplant,Ficus,elastica
7156,mati,Ficus,godeffroyi
7158,Ficus lutea,Ficus,lutea
7159,fiddleleaf fig,Ficus,lyrata
7160,Chinese banyan,Ficus,microcarpa
7162,tibig,Ficus,nota
7163,aoa,Ficus,obliqua
7164,amate,Ficus,obtusifolia
7165,aoa,Ficus,prolixa
7166,peepul tree,Ficus,religiosa
7167,Port Jackson fig,Ficus,rubiginosa
7168,"lulk, banyan",Ficus,saffordii
